FUND,,Security Code,Name of Security,Quantity (Share),Buy/Sell,Broker,Trade Date,Settlement Date,Avg. Dealing Price
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,337.0,GREENLAND HONG KONG HOLDINGS LTD,150000.0,Sell,CHINA CONSTRUCTION BANK,42016.0,42018.0,3.05
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,579.0,BEIJING JINGNENG CLEAN ENERGY CO LTD,946000.0,Sell,BOCI SECURITIES,42016.0,42018.0,3.4003
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,754.0,HOPSON DEVELOPMENT HOLDINGS LIMITED,10000.0,Sell,CHINA CONSTRUCTION BANK,42016.0,42018.0,7.3
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,826.0,TIANGONG INTERNATIONAL CO LTD,700000.0,Sell,CHINA CONSTRUCTION BANK,42016.0,42018.0,1.2785
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,869.0,PLAYMATES TOYS LTD,100000.0,Sell,CHINA CONSTRUCTION BANK,42016.0,42018.0,1.5996
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,882.0,TIANJIN DEVELOPMENT HOLDINGS LTD,162000.0,Sell,CHINA CONSTRUCTION BANK,42016.0,42018.0,5.8209
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,916.0,CHINA LONGYUAN POWER GROUP CORP,3500000.0,Sell,CHINA CONSTRUCTION BANK,42016.0,42018.0,8.5375
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,958.0,HUANENG RENEWABLES CORP LTD,3590200.0,Sell,BOCI SECURITIES,42016.0,42018.0,2.7269
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,958.0,HUANENG RENEWABLES CORP LTD,1801800.0,Sell,BOCI SECURITIES,42016.0,42018.0,2.7269
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,1115.0,TIBET 5100 WATER RESOURCES HOLDINGS LTD,400000.0,Sell,CHINA CONSTRUCTION BANK,42016.0,42018.0,2.803
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,1385.0,SHANGHAI FUDAN MICROELECTRONICS GROUP CO LTD,100000.0,Sell,CHINA CONSTRUCTION BANK,42016.0,42018.0,6.002
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,1900.0,CHINA ITS HOLDINGS CO LTD,200000.0,Sell,CHINA CONSTRUCTION BANK,42016.0,42018.0,0.986
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,3636.0,POLY CULTURE GROUP CORP LTD,43400.0,Sell,CHINA CONSTRUCTION BANK,42016.0,42018.0,26.327
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,3836.0,CHINA HARMONY AUTO HOLDING LTD,246000.0,Sell,CHINA CONSTRUCTION BANK,42016.0,42018.0,6.104
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,388.0,HONG KONG EXCHANGES & CLEARING LTD,80000.0,Buy,CHINA CONSTRUCTION BANK,42017.0,42019.0,179.2738
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,1044.0,HENGAN INTERNATIONAL GROUP CO LTD,41500.0,Buy,CHINA CONSTRUCTION BANK,42017.0,42019.0,80.8
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,2319.0,CHINA MENGNIU DAIRY CO LTD,300000.0,Buy,CHINA CONSTRUCTION BANK,42017.0,42019.0,33.9
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,2388.0,BOC HONG KONG HOLDINGS LTD,500000.0,Buy,CHINA CONSTRUCTION BANK,42017.0,42019.0,26.0875
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,82.0,V1 GROUP LTD,1000000.0,Sell,HAITONG SECURITIES CO LTD,42017.0,42019.0,0.63
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,579.0,BEIJING JINGNENG CLEAN ENERGY CO LTD,540000.0,Sell,HAITONG SECURITIES CO LTD,42017.0,42019.0,3.4013
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,606.0,CHINA AGRI-INDUSTRIES HOLDINGS LTD,1419000.0,Sell,CITIGROUP,42017.0,42019.0,3.1102
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,754.0,HOPSON DEVELOPMENT HOLDINGS LIMITED,206000.0,Sell,HAITONG SECURITIES CO LTD,42017.0,42019.0,7.2041
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,826.0,TIANGONG INTERNATIONAL CO LTD,700000.0,Sell,HAITONG SECURITIES CO LTD,42017.0,42019.0,1.2849
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,829.0,SHENGUAN HOLDINGS GROUP LTD,6000.0,Sell,BOCI SECURITIES,42017.0,42019.0,2.35
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,869.0,PLAYMATES TOYS LTD,200000.0,Sell,HAITONG SECURITIES CO LTD,42017.0,42019.0,1.7068
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,916.0,CHINA LONGYUAN POWER GROUP CORP,896000.0,Sell,CITIGROUP,42017.0,42019.0,8.5219
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,958.0,HUANENG RENEWABLES CORP LTD,2000000.0,Sell,HAITONG SECURITIES CO LTD,42017.0,42019.0,2.7215
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,1068.0,CHINA YURUN FOOD GROUP LTD,200000.0,Sell,HAITONG SECURITIES CO LTD,42017.0,42019.0,3.15
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,1115.0,TIBET 5100 WATER RESOURCES HOLDINGS LTD,24000.0,Sell,HAITONG SECURITIES CO LTD,42017.0,42019.0,2.8
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,1370.0,HENGSHI MINING INVESTMENTS LTD,30000.0,Sell,CHINA CONSTRUCTION BANK,42017.0,42019.0,2.5427
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,1900.0,CHINA ITS HOLDINGS CO LTD,200000.0,Sell,HAITONG SECURITIES CO LTD,42017.0,42019.0,0.9845
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,2357.0,AVICHINA INDUSTRY & TECHNOLOGY CO LTD,1000000.0,Sell,HAITONG SECURITIES CO LTD,42017.0,42019.0,5.0922
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,3836.0,CHINA HARMONY AUTO HOLDING LTD,150000.0,Sell,CHINA CONSTRUCTION BANK,42017.0,42019.0,6.0904
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,6899.0,OURGAME INTERNATIONAL HOLDINGS LTD,200000.0,Sell,HAITONG SECURITIES CO LTD,42017.0,42019.0,2.7501
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,1044.0,HENGAN INTERNATIONAL GROUP CO LTD,140000.0,Buy,HAITONG SECURITIES CO LTD,42018.0,42020.0,80.4998
